"Titulo","URL","Resumen","Fecha","Autor","Imagenes"
"Improving Firefox Stability in the Enterprise by Reducing DLL Injection","https://hacks.mozilla.org/2025/03/improving-firefox-stability-in-the-enterprise-by-reducing-dll-injection/","Beginning in version 138, Firefox will offer an alternative to DLL injection for Data Loss Prevention (DLP) deployments in enterprise environments. DLL Injection DLL injection into Firefox is a topic we’ve covered on the Hacks blog before. In 2023, we blogged about the Firefox capability to let users block third-party DLLs from being loaded. We […]","March 25, 2025","Haik Aftandilian","No se encontraron imagenes en este articulo"
"Launching Interop 2025","https://hacks.mozilla.org/2025/02/interop-2025/","Interop 2025 continues the mission to make the web more consistent across browsers, building on 2024’s 95% interoperability score. This year, 19 focus areas target key developer needs and long-standing issues, including WebRTC improvements, Storage Access API, and CSS Zoom.","February 13, 2025","James Graham","[""https://hacks.mozilla.org/wp-content/uploads/2025/02/Pasted-image-500x348.png""]"
"Introducing Uniffi for React Native: Rust-Powered Turbo Modules","https://hacks.mozilla.org/2024/12/introducing-uniffi-for-react-native-rust-powered-turbo-modules/","Mozilla and Filament have introduced Uniffi for React Native, a tool that allows developers to leverage the safety and performance benefits of Rust in cross-platform React Native apps.","December 4, 2024","Mark Mayo","No se encontraron imagenes en este articulo"
"Llamafile v0.8.14: a new UI, performance gains, and more","https://hacks.mozilla.org/2024/10/llamafile-v0-8-14-a-new-ui-performance-gains-and-more/","Discover the latest release of Llamafile 0.8.14, an open-source AI tool by Mozilla Builders. With a new command-line chat interface, enhanced performance, and support for powerful models, Llamafile makes it easy to run large language models (LLMs) on your own hardware. Learn more about the updates and how to get involved with this cutting-edge project.","October 16, 2024","Stephen Hood","[""https://hacks.mozilla.org/wp-content/uploads/2024/10/llamafile_8.1.14_release_image.png""]"
"0Din: A GenAI Bug Bounty Program – Securing Tomorrow’s AI Together","https://hacks.mozilla.org/2024/08/0din-a-genai-bug-bounty-program-securing-tomorrows-ai-together/","As AI continues to evolve, so do the threats against it. As these GenAI systems become more sophisticated and widely adopted, ensuring their security and ethical use becomes paramount. 0Din is a groundbreaking GenAI bug bounty program dedicated specifically to help secure GenAI systems and beyond. In this blog, you'll learn about 0Din, how it works, and how you can participate and make a difference in securing our AI future.","August 8, 2024","Marco Figueroa","[""https://hacks.mozilla.org/wp-content/uploads/2024/08/BountyPayout.png""]"
"Announcing Official Puppeteer Support for Firefox","https://hacks.mozilla.org/2024/08/puppeteer-support-for-firefox/","We’re pleased to announce that, as of version 23, the Puppeteer browser automation library now has first-class support for Firefox. This means that it’s now easy to write automation and perform end-to-end testing using Puppeteer, and run against both Chrome and Firefox.","August 7, 2024","James Graham","No se encontraron imagenes en este articulo"
"Snapshots for IPC Fuzzing","https://hacks.mozilla.org/2024/06/snapshots-for-ipc-fuzzing/","Process separation remains one of the most important parts of the Firefox security model and securing our IPC (Inter-Process Communication) interfaces is crucial to keep privileges in the different processes separated. We take a more detailed look at our newest tool for finding vulnerabilities in these interfaces – snapshot fuzzing.","June 27, 2024","Christian Holler","No se encontraron imagenes en este articulo"
"Sponsoring sqlite-vec to enable more powerful Local AI applications","https://hacks.mozilla.org/2024/06/sponsoring-sqlite-vec-to-enable-more-powerful-local-ai-applications/","Today we’re proud to announce the next Mozilla Builders project: sqlite-vec. Led by independent developer Alex Garcia, this project brings vector search functionality to the beloved SQLite embedded database. Alex has been working on this problem for a while, and we think his latest approach will have a great impact by providing application developers with a powerful new tool for building Local AI applications.","June 25, 2024","Stephen Hood","[""https://hacks.mozilla.org/wp-content/uploads/2024/06/sqlite-vec-white-500x286.png"",""https://hacks.mozilla.org/wp-content/uploads/2024/06/alex_garcia-250x333.jpeg""]"
"Experimenting with local alt text generation in Firefox Nightly","https://hacks.mozilla.org/2024/05/experimenting-with-local-alt-text-generation-in-firefox-nightly/","Firefox 130 will introduce an experimental new capability to automatically generate alt-text for images using a fully private on-device AI model. The feature will be available as part of Firefox’s built-in PDF editor, and our end goal is to make it available in general browsing for users with screen readers.","May 31, 2024","Tarek Ziadé","[""https://hacks.mozilla.org/wp-content/uploads/2024/05/Screenshot-2024-05-27-at-17.43.26-250x454.png"",""https://hacks.mozilla.org/wp-content/uploads/2024/05/Screenshot-2024-05-28-at-18.39.17-250x223.png""]"
"Llamafile’s progress, four months in","https://hacks.mozilla.org/2024/04/llamafiles-progress-four-months-in/","When Mozilla’s Innovation group first launched the llamafile project late last year, we were thrilled by the immediate positive response from open source AI developers. It’s become one of Mozilla’s top three most-favorited repositories on GitHub, attracting a number of contributors, some excellent PRs, and a growing community on our Discord server.","April 25, 2024","Stephen Hood","No se encontraron imagenes en este articulo"
"Porting a cross-platform GUI application to Rust","https://hacks.mozilla.org/2024/04/porting-a-cross-platform-gui-application-to-rust/","In this blog post, we delve into the motivations for choosing Rust for our crash reporter, outline the unique challenges of designing an application that operates when the main browser has failed, and discuss the new architecture we've implemented. We also share insights into the technical nuances of the implementation, demonstrating how Rust's features are leveraged to handle crashes more effectively and securely.","April 23, 2024","Alex Franchuk","[""https://hacks.mozilla.org/wp-content/uploads/2024/03/class_diagram.png"",""https://hacks.mozilla.org/wp-content/uploads/2024/04/crashreporter-500x356.png""]"